Size: 450000
Inflated Size: 1012497750

   0 12565757.069, 19122066.069 in 0.69021s 
   1 12565757.069, 20780107.146 in 118.63109s 
   2 10806508.510, 16385365.948 in 1992.40119s 
   3 10094765.913, 13935182.976 in 3704.34220s 
   4 9430505.393, 12348570.263 in 1300.59377s 
   5 8562074.669, 11282824.520 in 3342.02675s 
   6 8248705.804, 10551169.377 in 2513.78887s 
   7 7841269.400, 10040853.059 in 2661.84152s 
   8 7841269.400, 9678400.420 in 1452.09715s 
   9 7455674.412, 9413027.007 in 2228.74241s 
  10 7455674.412, 9212973.148 in 1690.35553s 
  11 7109697.746, 9057565.200 in 1857.74547s 
  12 7109697.746, 8935141.080 in 1862.30551s 
  13 7109697.746, 8838569.183 in 2190.85671s 
  14 7031960.949, 8763164.662 in 2591.74502s 
  15 7031960.949, 8705383.378 in 2615.91349s 
  16 7031960.949, 8661813.168 in 2322.84618s 
  17 7031960.949, 8629576.693 in 2136.73092s 
  18 6957246.984, 8606043.591 in 2464.19951s 
  19 6957246.984, 8588929.688 in 2460.26742s 
  20 6957246.984, 8576981.578 in 2225.11985s 
  21 6957246.984, 8568646.028 in 2603.98318s 
  22 6957246.984, 8562929.209 in 2550.51389s 
  23 6957246.984, 8559045.698 in 2712.94947s 
  24 6957246.984, 8556471.059 in 2503.51161s 
  25 6957246.984, 8554754.111 in 2827.95586s 
  26 6957246.984, 8553645.923 in 2499.83785s 
  27 6957246.984, 8552939.327 in 2717.64869s 
  28 6957246.984, 8552484.268 in 2447.85453s 
  29 6957246.984, 8552161.338 in 2803.42242s 
  30 6957246.984, 8551930.454 in 2650.57027s 
  31 6957246.984, 8551788.077 in 2021.99981s 
  32 6957246.984, 8551691.436 in 2465.72504s 
  33 6957246.984, 8551625.026 in 3086.13396s 
  34 6957246.984, 8551580.800 in 2586.43901s 
  35 6957246.984, 8551542.235 in 2677.94000s 
  36 6957246.984, 8551518.716 in 2578.57180s 
  37 6957246.984, 8551503.198 in 2782.54623s 
  38 6957246.984, 8551493.989 in 2528.60458s 
  39 6957246.984, 8551491.225 in 2733.82859s 
  40 6957246.984, 8551489.677 in 2374.08529s 
  41 6957246.984, 8551489.677 in 2489.44311s 
  42 6957246.984, 8551489.677 in 2394.00729s 
  43 6957246.984, 8551489.677 in 2552.56055s 
  44 6957246.984, 8551489.677 in 2084.82678s 
  45 6957246.984, 8551489.677 in 2668.84225s 
  46 6957246.984, 8551489.677 in 2530.94568s 
  47 6957246.984, 8551489.677 in 2880.64348s 
  48 6957246.984, 8551489.677 in 2428.68162s 
  49 6957246.984, 8551489.677 in 2578.71547s 

Total time: 120807.192542s

[-1274750  -997050  1181823   773396  -302989  1021105  -832360
  1182776  -312867  -174117   317947   883697   373340  -316104
  -397756   419206    73680  -667315   454859   689877  -134181
 -1197429   473405  -364472  -355255  1683744  -677044   374389
  -807033    26475  -565694  -215815   519553  -640761    14804
  -370077  -376172   567315   523484   364332   455241   -44063
  -693753  1461059  -610413  -246155   987269   437653  1192015
   -43549  -625410  -289837   176436 -1108498  -432860   -96227
   986405  1156446  -498938  1000947   669940   -13431  1070199
  -684089 -1206556  -179856   226652 -1225474  -441155 -1059597
  -436858   631266  -266591   288994   191763 -1848394   741634
  -269559   -13924   256653  -151401   284913  1150423   853757
 -1278581   925603   487154  -818629   106488  1247839]
