2205,1211,1754,-705,566,-3456,-1905,1404,-500,-1082,1687,-371,-1769,-2131,350,434,1469,-2840,234,-998,-1404,-1490,-1588,-427,325,-1321,2235,15,948,-539,-1800,1602,-1194,-310,460,-761,-173,1961,-2232,-1975,-418,1259,1828,-675,1313,-2018,-1312,-1232,-2639,-739,-3381,1471,-807,-16,348,196,2202,-1981,-1961,143,-3434,444,-456,-2117,-2526,-70,-12,1922,-1764,435,-602,-152,493,-1637,-493,3484,96,-3625,199,309,-1031,-1483,702,32,2139,-704,-2266,-2516,1616,1120,1646,-686,641,-1418,-1184,3986,-342,-1889,-1008,637,2442,916,2668,7,-224,-201,1157,768,2541,-715,1851,1699,1301,-66,615,-1739,797,1001,1999,-895,-422,-346
-963,-93,1234,928,709,407,584,1375,-889,1416,984,-2695,2600,-1143,247,-2696,-801,157,-246,-996,-15,756,2475,-801,-1251,-136,1108,536,-1210,-249,-15,-286,-929,-271,1823,776,-594,-1492,-644,744,-1168,-237,-159,542,6,1151,580,-1450,-45,-216,-1582,1166,529,-495,938,-714,2517,-916,1062,-165,942,-784,-168,487,-292,1227,59,114,1797,-273,-140,-204,1186,857,-843,1039,-160,-587,-739,-1267,650,887,1035,-1105,-825,-1804,248,2127,-898,950,-1505,1244,1306,-899,-1931,-1608,-1158,364,-1184,1812,-1363,1682,-589,-3039,-270,1828,21,-1494,244,1147,-1548,-854,1950,317,1114,-64,78,1620,1242,-1731,-883,138
420,1071,1232,1004,687,-837,-1810,2006,-975,-1204,-923,-1227,-1270,-18,-841,-783,-178,997,-1584,1387,-290,360,1105,-825,206,-204,684,1702,127,-793,1216,1840,-370,563,2584,963,583,1070,-1909,75,1020,754,765,-388,-1170,-971,573,531,-1227,863,-4273,-87,-113,-230,195,-480,2003,-1386,1321,-1772,-1584,206,137,-1480,-1705,-268,2579,574,1649,217,204,977,538,-118,448,190,-530,-1762,-774,830,337,-952,1450,-832,2187,-836,348,-571,-492,1301,-665,-2548,-239,-1205,-1902,924,-404,1084,-1339,281,-137,891,-1109,-1877,-1150,1821,-127,-1733,43,215,-216,-103,989,-1078,301,-1620,251,383,-581,-1692,210,-1843
282,932,607,-1009,1055,-1230,-2034,-863,581,-761,2839,-990,331,473,2234,648,350,-882,1499,132,-169,-1789,-2320,-1481,-441,-1170,401,-553,-261,-1487,902,200,-1396,-1150,1018,1088,595,1678,-1857,114,-2195,-911,392,-412,787,-958,-995,297,-963,929,-158,443,-96,759,-1841,1326,522,284,-925,988,-1949,-1496,-363,-1536,-757,-387,-932,-937,-328,-972,-291,441,1547,1012,823,222,-3060,1292,-1608,1604,-537,1361,-886,427,-868,-1108,-384,-759,-1900,-1050,642,1327,-1278,-459,-489,718,-124,-183,598,1825,639,-242,1115,-181,1107,-1179,-130,-370,1263,1242,-42,1602,-1838,954,1264,-459,-972,1158,1142,-844,-304,-857
366,1022,-958,-820,-382,1789,1148,-79,-2172,17,-398,-1406,-662,2191,10,-1456,863,1176,851,-823,-883,2338,-2251,-1373,575,-543,-1123,-702,-1666,988,-604,625,414,-143,-172,446,-1021,-1494,887,-106,-738,476,-1670,1221,-1184,3712,-412,-1355,1931,14,337,2081,996,403,843,-2076,18,-975,4010,-1419,912,-94,308,1761,-184,1713,2029,-139,410,2190,687,275,262,-1001,-2125,491,1400,-210,724,-1489,-1036,-266,-1609,729,343,1319,181,745,-280,1776,-586,-1550,578,149,-726,-2671,3,1310,-41,-2252,-1794,1728,-880,561,-1514,-872,-335,-1714,-1746,-354,-575,-274,293,104,-2074,1042,537,-989,2497,-842,-400,1164
-358,-421,128,261,-2390,795,-273,1987,-852,-69,-472,278,467,-1672,2181,1602,-1198,-809,729,368,-915,-825,-322,157,-226,-1417,-1424,196,150,-84,1373,375,389,-1309,-348,-1586,689,1555,86,-533,589,991,-421,-56,2088,723,-1240,-2172,97,593,-159,-1451,870,426,-797,2285,-909,1655,-712,-128,922,2046,532,-1628,-1080,-141,1655,1737,1157,-804,1818,-1778,-2653,-556,2892,-1513,370,-972,-1892,-74,1036,-111,1782,-419,2278,656,405,-740,203,19,1182,-163,316,-1360,-669,2614,-198,627,2526,895,-1162,-3139,-1891,-198,723,1622,225,-1129,-2378,309,3232,-765,325,23,-386,-186,-415,2369,-629,-1128,-975,1165
980,1777,1274,352,-125,1087,116,-2417,-210,-734,776,-371,54,2348,-2034,-387,1055,183,1650,953,421,-2869,580,-348,1479,1540,2262,882,474,505,-218,886,650,-451,-1279,-765,-134,-720,-1693,-1420,156,-1240,1219,-1195,-1773,-1740,1069,1376,408,-1100,-362,914,-490,1510,-3252,428,191,1944,602,-279,-686,1379,-3605,-1478,1728,1616,657,463,-739,1438,1412,-1378,-164,-2019,921,203,-401,-2379,-9,-80,2411,470,-61,-1085,-634,410,681,-852,598,1034,-1800,1461,-1749,-1219,517,-1418,347,3410,-354,-214,2703,1896,540,550,-555,-2184,-1517,-1043,1676,2196,388,1922,28,-2619,2239,-2147,-256,-499,-1598,-902,2529,-569
1558,-40,23,-861,-1310,-1846,-598,-252,425,-902,769,-99,182,170,760,2167,661,-1500,3534,-465,-720,-2575,-473,717,1575,-204,1281,142,-1781,574,371,-524,-724,-780,-2713,-1494,-1222,1044,-108,-2013,-66,1493,1499,-1172,1805,-1271,-890,802,-2234,-3353,-71,480,1058,-406,-1625,1931,-874,2223,-1882,1164,-3005,382,-819,202,-1145,544,-320,398,-1844,270,281,-1722,-1566,-2868,1510,234,935,-1401,1512,-1062,465,-730,166,1141,867,719,-1128,-2150,1760,90,2170,-254,-79,-1371,572,3216,-3069,-191,3315,-866,1572,-1467,2110,2570,455,-1036,-874,1651,1584,2140,1715,791,1319,-422,395,-1075,-700,-385,108,1124,-1356,336
525,-591,-44,-494,705,170,1127,-673,-782,462,1898,-1002,1293,-173,-1083,-1958,-1092,-180,249,-860,-21,318,530,1810,352,-486,1758,-1174,1936,-692,-1281,-1536,195,2449,-697,-2160,322,-105,1075,232,-473,273,-1181,876,-1755,437,-795,133,1053,-323,-30,2012,-150,1166,277,-619,-286,398,-158,-1468,-303,-2414,-154,760,333,1053,-594,1477,-1439,1721,429,-624,653,-558,-1757,-307,1677,-440,237,-2175,286,488,-2966,-1838,-2555,-59,104,2165,-695,218,-169,454,2581,-2300,2579,-516,696,-712,-1046,471,-2778,1066,645,-1145,-66,360,-1117,-1295,-146,583,2405,-574,-420,-53,676,1330,1396,712,718,1566,-1775,-70
480,492,1036,425,-475,-377,20,-5,1046,-1298,-289,849,-1328,368,-884,24,1323,501,1496,1579,-1566,1288,-564,-1742,1158,-240,-933,472,-702,1239,-156,1775,1706,-409,590,913,-1704,-1107,-399,-391,-590,665,-180,-471,420,358,-853,393,-901,-1092,-906,1526,-772,284,958,-1331,-226,39,1615,-580,-567,-275,-733,257,669,1889,1218,2116,1980,-523,-597,180,-225,-1811,11,1008,1578,-2020,1256,-584,576,-405,19,-876,1632,-1137,155,462,768,717,-279,702,-1003,-423,-221,636,-753,1113,159,-687,1320,-1325,-311,-497,11,-664,-346,-117,1932,-707,-1682,1642,2465,-6,1878,-1012,798,757,445,-1441,-338,-1428
1961,-108,-454,-1182,-345,-915,225,-84,-374,138,505,-1690,291,1284,2361,316,-915,-1534,518,-2269,-1618,-1501,-874,-800,1229,1421,1884,882,-952,380,-445,-31,-1376,738,795,-2461,-1126,791,-642,-787,-654,220,650,1040,872,380,-1438,-2614,1068,-526,642,840,-385,488,-1171,1215,388,85,-721,-1778,-558,288,-2629,-129,-981,1259,-318,-2009,-1033,2283,-151,-2232,-1383,-630,337,-356,-1081,83,546,-2213,-1558,592,-1033,458,-869,-1155,690,546,1667,-1560,-197,-347,931,355,-179,1248,-1262,-1268,1228,-745,-676,1870,1178,2035,-1083,-92,-629,-1073,1394,-461,1188,165,-2340,1037,984,961,27,606,1344,1172,-1463,-124
-1987,977,430,1380,-4,-90,-303,1534,-2708,-758,3042,-884,2566,-2552,260,-2714,59,-1168,-540,400,-1939,1344,-939,-1227,-1583,-625,-593,-315,706,-1083,638,1389,1664,-1359,-291,2273,1329,1908,-470,-4211,1092,1075,-1053,2289,-1134,2559,-2208,681,1763,1110,-4150,1128,2479,1971,2039,42,2260,-527,-490,-250,273,-792,-878,-1196,645,-147,3421,2060,-1412,-2231,1755,1506,1821,3309,-96,-96,-1674,-1704,478,-382,1192,-1642,-683,-1368,-370,-570,665,-42,-1201,2010,-1633,-236,2559,27,-1059,-2311,-693,2538,-3500,523,-2943,404,-1684,-1696,231,-2159,-1506,-4230,-1859,1456,782,639,-1387,2512,-736,-2771,2970,740,-498,-569,-965,670
-69,1380,1080,-825,1945,-1507,-904,-765,872,313,886,531,279,-821,-787,-837,1438,-1510,1592,-619,-1168,-550,-629,-618,-20,766,445,-419,-1249,860,-2506,1110,174,-537,-1019,62,244,-97,-1001,-1069,-1739,-1197,277,622,377,-2520,-1096,1271,-2403,-2500,-161,-181,1675,-1107,901,1260,1361,-941,-264,2873,-2886,-527,1168,276,528,384,-422,-10,-720,-1190,-2055,1567,-232,400,-1267,2877,134,-1111,197,-596,-23,-181,1321,1456,-466,-918,478,-1117,-411,618,369,339,-1049,664,-1505,649,-1829,-339,-2100,-461,1942,354,1648,-463,1328,-307,543,1395,3558,1461,-2031,-87,854,-22,1403,-705,-908,-718,141,-887,-756,-1614
