-361,-1134,-1413,840,1314,873,-2393,1031,1724,601,261,291,-219,138,1292,-938,-117,-1118,-2814,44,-298,-866,1836,-781,384,-1782,-1123,-723,1043,210,251,-1624,1418,-1519,475,1697,2292,980,-769,-696,1382,-1300,-491,-2596,-1905,-1007,929,-1051,473,-501,1577,-1826,-339,-182,370,1164,-938,882,-100,-1405,28,872,-542,-1759,192,712,508,-2887,-493,623,1528,1148,1251,-128,-205,-1507,-1552,-301,-151,1021,-49,909,-37,568,-299,-699,1064,1601,-1616,-1245,-1043,3917,-155,-169,443,-857,1685,2504,693,727,-1390,379,-671,-523,1990,-505,-81,921,1016,393,-1614,-1000,838,695,1359,809,1132,1861,-1181,-3530,639,-1896,82,-798,-109,-1153
-864,714,-814,1837,1375,2024,-1470,705,2298,-291,-1522,1617,791,1097,-1872,754,-2013,-471,100,-705,-362,1292,-870,2803,1633,-1461,295,-2422,782,265,-850,495,-579,561,842,-1825,2049,-1167,-2235,161,2148,432,96,-761,202,624,-98,328,741,-651,840,-334,-716,654,443,1893,195,-331,-609,-455,-1038,-1881,-2396,-1883,-534,1830,-2843,-1659,57,2013,281,116,2880,1419,854,-313,-825,-1637,-69,-325,1458,1413,-1595,553,911,795,20,1892,-886,-2766,455,1989,-178,-419,553,-64,2514,1102,755,506,-41,672,2245,2466,2659,43,-593,302,1181,-1764,-863,134,-1257,-1187,923,1730,-1229,705,-1608,-302,1074,2034,2303,-624,-1239,-557
147,394,-259,1335,479,229,-471,2332,-1294,-1586,1157,1402,996,-494,-302,-98,-884,1109,-95,831,909,758,-2020,-2239,-882,3188,-1076,-180,1362,517,1604,-275,755,-77,-993,497,235,-219,620,1769,2275,2182,-717,-1428,292,-167,2190,-344,1501,213,990,349,44,-928,612,-613,1533,1792,-511,1299,-1257,1282,-115,53,1298,-280,495,-758,-352,-67,-535,-1005,-678,1009,-445,-1008,-57,458,3072,-775,-1217,1463,-1171,-903,1514,1108,-1413,-950,2510,-2201,-639,1000,422,-1040,2337,2505,-8,-461,-1547,1065,993,-1148,-395,516,-790,325,-1299,3250,-2429,-565,-1069,-25,1042,-336,1467,1554,-181,-261,329,512,1383,-1234,1579,169,-1874,-120
-1055,504,-1724,576,-2595,2468,655,1299,1245,-257,-2346,-73,-1290,1583,1233,1667,-1140,-1076,-1114,995,-528,-1786,-1286,-492,42,-2485,2004,1631,604,1317,-2858,-1975,-2715,-3049,-1740,142,1458,593,1255,-745,761,1359,1037,-719,1817,191,1681,65,-120,-111,268,-1618,938,-246,-950,-684,-18,458,1781,-141,1696,1147,-1491,2561,421,-1035,-1844,-1348,-1262,464,-379,-1248,-695,487,-1788,-421,-981,-1762,704,-301,2881,243,2219,-1622,-1002,-62,2128,284,-2534,-710,453,2101,1635,-1452,-34,-1593,-1235,1419,-515,-2198,-2236,1615,-2320,-358,1089,87,2075,1115,-1578,468,685,1929,1986,-441,791,369,-678,-1082,153,-159,-872,1828,-227,1163,-243,-1050
-1142,2598,-369,23,-1992,837,348,1466,908,-1545,159,2875,-1325,1537,-1284,305,-1549,941,-590,1137,396,-727,-1857,-2140,-983,929,335,491,416,1805,-92,-1544,1104,-1453,-1285,52,-1027,-798,1182,-907,504,1621,234,-2381,1344,450,2750,-1227,2770,1561,-1478,1858,-2204,-279,-962,-1,592,2847,656,295,1874,764,-2068,2159,566,-815,-1766,-1193,-1575,-908,125,-1809,98,2095,-1850,-1114,-3346,-1782,1146,-1358,-941,1796,536,-2958,1335,349,-279,-201,2243,46,-1801,340,-136,-859,576,1017,1920,181,-740,-849,555,291,-397,-112,-914,348,-521,1500,-2701,-1017,373,-13,-1292,-621,933,1428,-625,1442,-1009,2237,704,-494,1577,-1003,-3299,-1741
1969,-1783,367,-78,1176,-685,-1359,-745,-1609,503,746,-2019,1389,-2065,-1483,-399,1667,-903,739,808,684,2231,1642,-2563,1224,1336,55,165,1581,-2178,-851,1720,1733,1120,303,461,-444,1307,-1654,-481,23,-1905,-711,-1337,-443,-938,-850,-2025,1225,-1378,885,-1072,72,-1750,1576,430,-2615,-1201,-2155,-103,-463,2544,1929,-710,1604,973,1818,1968,378,-562,378,2139,-344,-808,-767,28,2754,1649,326,1457,-2101,1601,304,-893,390,1046,455,-382,-1083,187,-694,962,466,-896,713,149,585,814,-383,2539,825,1396,1016,-260,1400,-1402,-763,493,379,108,1016,-463,-127,755,-518,-185,292,-1617,-394,-2575,1081,-590,-1824,1365,999,2097
-122,-1880,-1639,1038,3007,-1428,-779,674,381,1564,442,767,309,-2144,2476,-2347,-322,1772,313,-2858,-2322,1697,2112,103,877,1069,300,-414,-1420,-343,2658,-999,-234,855,1582,95,2541,355,249,-172,-2094,-2277,-506,20,64,-655,-895,-1158,421,-3656,2437,575,1732,-299,735,83,143,-867,-801,-1006,-2089,515,3214,-866,163,1645,164,-2670,1348,153,688,939,1509,1104,1105,3,813,1512,555,752,-1920,-278,1320,-308,1301,-2078,-1717,971,-2124,842,-754,1886,1098,1495,-1811,-1928,-1668,-283,1594,1637,-1056,-858,-854,-806,-378,-1069,-1121,-664,2115,755,-2801,-1742,-783,606,-106,976,-1325,-23,598,-1468,-629,904,482,1828,898,579
-452,-1244,783,95,-128,1691,583,2434,-1432,-1073,975,2207,908,837,1371,-1142,15,1783,-1351,1716,28,-898,-625,94,2147,2606,2557,-3447,753,-378,1760,-861,-813,1068,201,-742,293,3509,-944,471,359,2761,-1552,971,-66,397,1378,501,-334,1892,1594,932,1048,497,1321,-611,709,-1428,-1660,-1143,-812,-61,1411,-1353,1741,-1587,-1129,2485,-417,-130,-926,-592,-1538,-1621,-418,-211,1810,-395,30,90,333,-3260,-1057,536,-545,1622,-565,420,2960,-551,-764,1352,-183,556,-945,126,-351,-1005,-1424,1508,173,-1500,281,-1075,-928,-463,1142,351,1327,-1193,-502,-830,1171,643,1065,-730,1067,-652,2224,764,-97,188,1898,-1517,-649,363
-2194,931,1920,-166,-1469,1259,2260,2106,1994,164,-2222,-279,-702,2514,108,-1332,-386,271,543,1916,246,-1239,638,1776,1405,-1052,-1236,-405,-64,-1531,272,1953,151,1541,-1706,-744,1911,1294,1351,-714,601,694,-1755,179,563,1300,-1549,802,-1294,1195,-836,803,725,1279,-251,-1013,2645,-961,1682,-779,1331,-657,-1865,-653,-638,-2204,-2227,-334,3127,1103,-478,1121,-310,-223,-285,175,2049,597,-2259,-1308,1327,-614,1745,1266,-2016,411,2020,1222,-559,-890,-94,338,50,1423,1274,-1290,-1537,429,251,-1131,2122,-1453,1322,-2615,-1871,-796,-774,195,-529,-2646,-87,685,-2716,487,1626,-1058,-638,1634,-1001,1582,-1559,1351,492,-1544,1135,1327
490,-526,-641,-1835,-1083,903,200,1382,1047,127,-34,669,151,515,1869,-65,-184,77,-1407,-41,-1310,-1016,-136,-77,891,-258,-168,-87,772,-1217,-1564,-2338,-72,-196,-1536,1537,-420,1906,-685,-844,1615,2665,1740,-629,-1229,1512,1159,-1295,81,198,500,-1404,718,515,195,1066,-720,1302,-485,-619,809,900,671,-445,935,470,900,288,-3456,585,-1397,656,530,458,-1440,1766,-1765,-1251,-380,-358,1342,-1732,-49,347,248,867,11,1470,-753,-768,-882,1472,-1020,-1679,343,343,2033,1946,-460,-1079,-89,-1283,-1060,132,685,1777,-404,796,-518,-1114,239,-445,593,-580,297,51,1582,590,716,-1357,2333,-1456,1547,-1692,467,456
