1387,-920,1072,-2676,1879,965,97,906,-1837,1928,-1382,1909,-623,-1742,-1785,-1182,-1304,-680,-1793,-1965,-113,-859,629,-1862,235,-1315,-2619,57,1296,-718,146,528,-564,-761,-1516,-450,-79,-1200,2859,-2826,-1697,1550,969,-69,318,-366,-763,559,100,558,-2568,-480,-2033,1054,2417,-1918,57,558,1299,960,1121,553,-929,483,-2045,1441,294,-1375,-537,-229,2065,3975,896,543,-2922,1080,1499,346,-1061,3201,-35,2060,4053,-339,1843,-705,96,2390,-1520,-518,3221,-1299,-318,1965,1196,-1860,1375,1245,-655,-145,-372,-877,65,-1556,687,992,697,266,-3319,323,382,1026,-172,-1681,441,906,1782,-1090,294,2947,-21,-2390,-548,-583,728,-208,895,-588
117,3120,123,-1115,-1360,-2571,-311,-1680,3865,-1357,1342,-908,691,1163,3212,4416,2187,957,87,2067,-98,3642,190,2036,812,-161,-1626,3898,200,-450,1029,-334,2984,-1458,-1052,1372,-926,-372,302,906,2067,144,389,2215,-2347,44,480,-1058,-1802,-1350,3545,2717,118,-4720,2542,-1886,1162,2921,702,1300,-2813,1893,234,-1686,-786,-208,772,-369,52,-116,-330,-67,-2444,-1129,1281,-549,1704,-1186,1599,1247,-2118,1033,-871,1459,896,-888,-1382,1657,1720,-2423,-1164,1381,404,-264,-83,-1241,-2568,2660,1887,-1185,1047,1128,2820,1208,9,1727,-786,-742,2875,-1118,-489,1684,497,-1714,930,144,-1742,980,-158,-883,1605,2539,2705,540,-189,321,-424,2563
2590,422,-2508,-145,-563,508,1194,302,2829,-143,2035,1148,1383,947,2148,-687,-1717,409,-3369,-162,-1129,869,-1136,-990,-317,185,613,3734,-2428,108,3560,1076,567,-711,-226,3140,913,-1618,1539,1554,3404,-1873,-3014,50,-694,-1188,1742,198,-1371,-3475,982,-2137,1328,736,-438,1926,-1594,42,221,-117,795,452,5063,-1176,438,958,-1773,-1127,-692,-1259,-1655,-99,-2348,-733,2976,202,-3607,-1549,-112,-838,68,-1534,-381,-233,-2470,1829,-676,111,1586,1826,85,665,-979,590,-1670,-254,-814,1442,70,1441,636,1997,-1402,1142,-316,-1459,-1967,-892,2614,-1238,-126,459,113,-1409,-3275,-461,208,529,1746,-2093,253,315,-2461,298,-2582,-1899,-1004,-1992
-245,-619,-353,-81,689,1406,-2023,1342,-1091,602,906,-1753,-2680,-1262,-3433,1963,-2568,-732,923,1332,941,-1050,1134,519,970,1793,-739,-3112,1051,-705,138,-2348,1124,576,-168,-1707,3078,-785,-1384,-43,-927,103,-728,-801,2529,1877,1062,508,1917,-2048,336,-512,295,-135,-2311,659,147,555,-389,-2399,-182,-2445,-2508,-2372,-880,-392,2154,1767,2544,-1580,-2047,-1240,64,-823,-966,-770,2461,-277,-44,249,-1517,-343,1408,1231,2353,-2269,851,-721,1265,-2718,259,-1981,-1316,1017,-1044,466,-768,1093,357,-298,-274,-2417,862,917,176,1057,-513,-893,-2510,-2084,-1568,128,599,1252,98,-1277,-1827,3052,2274,1558,824,-268,1707,-1361,2158,2349,-1171,1420
1629,-1171,-1157,209,-625,1506,-251,-228,874,680,2323,-1770,390,1584,-917,38,1387,1032,-1414,893,1283,-1303,-962,-594,1345,1236,-1989,1058,-1470,-253,37,1978,-481,632,735,-1757,-139,-3184,-230,459,507,428,-350,-1145,1686,2532,2443,-2296,-1778,-2850,-1218,-920,2624,1566,-969,-1550,161,128,-655,363,1548,-730,2798,1162,-291,1357,-25,1985,1423,-2521,-3435,-166,276,1139,962,-802,-2214,404,-502,1924,2374,-37,1096,-130,264,769,1355,454,-1470,1126,437,-2215,378,2395,672,203,-772,-200,-1771,895,-2676,-1025,-1149,-772,-78,711,-602,-115,-301,-1766,316,-75,3360,480,-294,353,635,497,-2561,-1649,-853,858,773,1261,84,-64,-1471,-600
-786,-166,745,293,-1034,1060,-1266,974,-2292,-49,2411,-1708,1138,-301,-2040,-1149,-81,-170,1163,-3349,2092,798,-418,969,-1280,-1508,2172,-1604,710,340,2428,-2422,-988,2589,-2041,3097,-875,-1722,-122,2368,-1376,-792,927,-86,-1442,1332,1702,-1373,5582,695,3564,251,669,-764,-725,-807,-2091,-1434,-468,-69,1243,-490,-1746,1942,1330,238,-1857,1604,-1312,-7,-2743,-1553,2247,154,1549,-2967,448,140,-2140,-93,1464,-640,1015,75,-235,-790,2004,-1677,-1338,1345,-1538,1710,570,-2449,-79,2165,-249,149,-1322,-1423,-1530,841,-155,1622,-1551,1109,1328,157,-1834,150,648,973,1661,4928,-748,-1620,578,142,-1505,-362,1781,-2172,1371,-1209,1498,-2080,-2733,1502
-485,861,1565,-139,913,359,-36,706,1255,-2902,-123,498,-3520,2091,985,-1307,1582,-620,1340,-1869,4033,-374,-284,-102,295,-970,-2577,-853,623,789,-3335,1305,-689,2999,1323,-2449,-2146,-1276,-275,587,-1345,453,196,530,845,1025,-403,-17,-943,88,-1615,691,-391,-1087,1851,460,801,-38,1856,-1172,-1268,449,-1957,698,-38,2010,1005,-274,662,862,-296,445,-253,-172,1061,3226,-1983,87,3203,-287,1544,-283,-703,-642,671,2018,-344,-832,-628,543,179,-1860,730,-1362,-334,182,1477,-2074,1287,800,-594,-2215,633,-2635,-598,1361,3576,1816,2220,1828,50,8,1298,-1463,-1102,1151,1242,1410,38,-511,-3321,1407,1243,-410,-165,-774,3445,-1382
-1023,750,2520,-878,881,-2436,-383,494,-2322,1158,-1775,-503,-42,-2286,-1802,3318,132,-160,1585,530,-1271,1224,126,203,1538,-623,-1893,-332,1119,240,-164,-1355,-2026,1251,-1009,-2421,-1683,804,-576,-438,-1003,-1612,464,1308,-1655,-1145,1996,830,2037,1334,-119,511,-1742,-1156,-920,-1470,640,-287,-913,1210,-1636,-178,-1648,484,-606,-2853,2398,572,-25,373,2209,1947,2025,144,-807,-2743,2701,638,-898,1283,26,3498,-474,-937,1830,-1316,1048,-391,-1578,-2244,-580,-2,782,-628,1841,29,335,439,-1039,-2103,13,-989,902,1100,256,774,203,-523,-3455,-2777,1811,292,-606,1200,920,1884,-3159,-48,-372,919,728,-1245,2035,649,460,4377,-1768,-563
-38,1518,757,622,-33,-1939,813,-689,119,2199,1920,1136,1712,206,-759,-596,-644,-562,32,912,-1872,1437,-127,1298,1179,683,-1022,801,627,-1210,2575,-371,-651,622,-7,1247,-2088,-56,-1872,1439,1174,487,-1729,2012,-989,-2150,150,200,613,-1422,651,-567,1833,-231,761,-419,490,-1820,-2603,-193,168,-1054,449,-294,-1283,-906,-318,986,722,-190,237,-3366,-1936,1000,791,-1534,-15,-2143,112,-393,-1043,1754,-487,-1477,1192,-1274,2017,1116,12,220,438,-333,-102,1515,190,-200,149,830,-714,1157,698,-748,96,1126,-939,620,-117,-691,-575,-1090,1514,-1663,-206,-1307,77,517,-174,1082,-330,-633,2173,-2225,508,2432,-200,1708,-193,232
-958,1390,-1238,551,-1391,-173,-546,-248,349,-1800,1366,1458,-2054,-1876,923,198,-1870,944,-976,-685,-51,2259,267,-187,2006,-93,1020,-811,-1036,728,282,-1975,1319,-967,-470,1268,-63,-1541,-2391,-212,572,-1313,-3005,2136,-3100,-750,-936,2621,1135,-1021,1336,1873,-1319,-752,22,175,997,-185,-1096,573,-995,1412,127,-1299,131,-733,2400,1025,-349,80,-1636,-1872,2550,-2270,1491,190,31,796,-861,-167,1116,826,-841,-2363,241,1019,-875,1237,-15,2431,332,369,-467,-1030,-128,1715,-309,855,392,82,-129,-260,-1197,354,399,-201,558,-664,898,-1815,748,190,-1945,-1004,-336,1894,-1165,492,1439,-1262,268,1877,902,-634,-1202,-173,-476,1158
