-546,-956,-633,828,-1259,-228,1083,-388,596,-471,-260,201,505,-252,139,191,1479,1244,-387,689,-628,943,-331,-1897,1660,783,946,-103,-1310,-414,-401,-986,112,-1613,1402,726,-650,-1221,819,203,580,70,172,525,1213,-148,-1043,-78,-394,148,-1319,-690,-110,849,-1223,328,178,-722,814,830,-1088,-267,-716,-154,898,-1054,-694,721,-890,-1201,-1151,-1012,512,1156,1526,-993,-386,273,840,-976,834,204,-700,-316,-427,-530,2053,9,-122,-387,-1880,440,457,-149,-1782,-691,2423,-1420,27,-1214,317,-869,1118,-1242,-815,-305,0,1532,579,-723,-119,1497,284,1355,-29,450,-813,-637,-478,-1640
-121,-409,1328,422,903,419,-781,-678,-38,1394,-1630,-589,516,1678,-292,-1098,2103,124,6,138,-1483,1859,-1883,272,801,34,-4,-1005,-1374,806,74,-1488,-488,-605,-136,482,364,-27,-1984,-489,670,1031,346,-1531,1572,531,1044,-601,-2029,89,-151,142,-709,1010,383,1202,945,396,738,44,-177,-648,-1148,318,1241,811,-1815,2497,775,-253,-1209,297,608,1091,457,-1816,-267,197,-125,-2528,303,546,1192,1220,2118,322,-2346,-810,-1398,-1158,-1915,-616,2314,-1213,376,-77,911,1393,453,1021,-1868,-283,1446,-603,-1496,2118,-658,1408,1011,-950,-787,-2013,13,-2081,1059,-2093,1357,578,-389,1444
582,938,779,-1474,651,1549,-1042,-1833,393,938,1245,-253,1543,-2194,-545,-261,1497,-566,-711,722,-1156,1152,48,-1367,6,2171,-807,-18,1258,-1255,-1458,-921,-1011,788,767,-684,-1336,182,-1783,389,1965,1740,-1300,-425,256,-705,-273,-1001,-1094,2044,-63,-182,2096,455,-779,-1835,1087,1641,-436,277,437,685,-290,1344,1378,330,-357,-296,-2385,107,-462,257,9,-1276,-405,-561,-1469,-705,249,-1165,2286,-1435,1382,-666,1749,-527,-1012,681,-2076,-108,-2157,799,1670,351,-804,-794,942,-166,-61,-91,-983,1631,1873,32,-383,1844,-22,757,919,367,751,-378,1013,1780,827,400,-295,-868,1389,1346
-18,-841,-821,-257,913,-228,-698,1235,-85,429,-730,-1878,-1256,-818,2613,-1108,-1440,571,246,-508,410,1212,-693,-405,1635,1256,1522,1488,1220,-819,253,773,-2503,139,-1050,1658,1341,818,-247,-586,1086,-35,164,1516,2474,1199,1288,-432,586,-1374,64,2291,-192,-1204,1068,129,-332,837,-1196,-698,1106,188,2792,412,1406,-244,191,211,-594,-416,-941,208,-638,1453,-283,543,1384,-995,458,-957,-32,344,1989,949,-1055,-113,35,808,-486,-1110,2244,-574,-789,576,3141,-809,-901,382,1070,596,-64,214,-518,-185,1080,148,794,-605,-1115,308,1935,-197,-824,78,601,-58,-597,-298,789,951
1188,2077,-539,-606,181,-211,-693,391,-1620,-1047,-363,2525,-307,2901,-1029,-1448,965,-680,110,-956,-125,-36,-345,1607,-2364,-754,191,-1447,-45,285,1257,1593,989,506,160,512,-689,-579,-164,899,-1298,387,-158,-586,-1114,1253,-440,2068,-2257,-136,-59,2708,5,30,599,-1766,-1746,101,-971,111,-1660,-256,576,242,-758,3174,177,28,971,758,-382,-311,-269,542,936,335,139,-236,-1582,1007,126,1256,389,631,-127,792,-1225,-1044,-455,168,1551,358,-777,128,858,-1051,-1326,1673,623,1997,-1355,754,-252,-639,619,-1089,-417,559,-248,2005,-1517,-461,870,-2526,669,-1202,1592,1395,-159,-91
897,-700,205,-1309,-138,-61,777,-480,6,332,990,1274,-1611,-2673,-1604,-547,2061,995,1256,3717,281,-354,-1758,-1221,-1699,959,1276,-573,586,516,299,103,-253,-1354,352,136,-523,-63,-2151,2070,1308,498,-1359,39,303,-575,-826,900,-1071,-1265,-1221,-1016,820,-203,1795,-523,1506,262,-694,2343,153,2240,743,1696,452,-502,415,-599,-1114,1391,-309,1101,-1422,31,-136,-528,-2104,2267,2533,-2630,-650,586,-2451,124,-505,749,1503,877,1694,-761,1118,157,1194,1809,740,-785,557,-31,1820,-1958,667,-32,-2583,-1380,225,-406,2183,712,-223,2307,686,1584,-310,2185,1618,1432,-492,-188,-1055,-2622
1528,1979,816,425,-1290,35,569,823,-486,-2235,1524,709,774,576,221,2680,-750,291,205,275,-348,-540,2142,-2250,-369,391,-1140,-2886,-383,104,-18,-1144,423,1664,-1955,-241,-2204,-444,1463,2773,-1085,-1048,-339,-1286,-1277,280,-43,831,983,-836,822,-43,-1181,-520,-1114,-2712,-535,1935,-2002,528,-631,646,-515,572,-1050,891,-315,-1590,-1650,265,-2558,87,-313,134,-33,-166,547,687,-103,-1539,-931,-161,-881,1093,1148,1723,340,-322,1085,983,-1422,-116,736,-2097,-1356,669,379,1791,22,171,-1325,-1207,-1765,368,793,806,2459,786,-873,831,968,-226,18,1282,-1674,994,129,1020,-1677,-113
-2610,-1705,1006,903,1823,-2123,-799,1111,-412,1233,-134,-2261,-665,-309,-1431,1296,-1536,2962,-634,1385,1446,1655,890,-1176,2788,-1118,106,968,1143,1991,-717,1587,-2028,-1136,-160,608,938,-618,1060,-1158,-730,-1992,2339,327,1401,-1005,772,-632,662,1494,-651,-2204,-636,-1172,2180,1275,71,169,565,-1517,796,1284,-783,-1539,1183,-523,-607,1467,335,-2434,2114,-476,2441,1156,-408,-43,2174,132,2069,-155,74,495,-3699,-1690,327,-610,-880,1019,83,77,1654,-1785,-1992,180,-1531,1697,-661,-2177,947,-901,3525,-1360,323,-1216,288,-2153,415,-1289,-998,-221,195,1445,-3339,1193,222,450,401,2002,810,-1272
1438,626,557,519,1850,-941,-298,287,174,-1098,920,-1378,1498,1904,1661,36,377,-1702,-349,-1601,75,554,-22,-90,411,1286,-740,24,1966,-23,690,-1635,2097,73,-3049,1613,-2020,-1930,-1266,1828,327,-116,2136,231,-540,-102,1748,-2543,-681,254,-1200,691,-162,-375,-822,-1317,-532,775,-2698,-1299,-1653,864,-846,999,899,558,1768,-1698,-762,310,-1440,-767,-1819,662,-203,1577,1251,2713,-1230,-1075,-1258,527,1639,2695,761,-289,-1874,-2155,-1559,47,-1356,1784,1207,-76,1053,-3389,-502,1542,414,-676,-1115,296,1007,440,356,1441,-1212,103,756,1251,-918,356,-314,1104,481,-4,-1415,634,1408,956
-840,-1660,-538,197,1843,-887,742,956,-730,1755,-359,-609,-2032,-334,-714,-2076,320,1018,-1387,-658,1259,727,-709,1014,1551,1205,363,-303,-1016,-434,184,1558,-1078,-718,1315,-28,977,365,-978,-696,1004,215,1763,813,585,735,412,729,3060,531,-203,-126,772,-124,3,1950,-1470,619,1217,-139,-356,-1614,871,-1244,2678,679,-569,289,229,-351,871,-894,611,1011,-805,-596,207,658,-303,-446,-373,-373,1900,-806,828,-428,578,1064,-1255,-575,1431,-159,-342,-214,1281,27,-656,-193,1472,363,1111,1133,551,393,-99,-969,-1977,-1306,-1,-324,-425,2223,-962,2246,1956,-449,-618,514,1354,172
-210,-998,-1606,1215,108,1427,-14,809,2282,192,-2344,-1112,1982,1351,1580,350,-1213,-634,-1499,-384,691,-675,-1005,994,2419,-266,-960,1108,-2194,-795,-2639,-46,-1204,-174,1108,-619,2606,1173,522,-2142,-1088,870,387,-1011,1233,-31,3008,1382,329,1050,-1234,-515,-1479,-96,-894,2062,-140,-712,1574,17,-254,-134,730,-1199,1313,-257,-1109,3608,2655,-1281,701,-354,1962,2168,575,-356,210,-157,-615,1089,884,372,2817,1308,254,-1311,-35,-583,-566,143,-696,-317,-1242,138,-20,1820,1413,-1159,-1334,329,192,1119,1945,1532,119,10,-2777,284,1372,-765,477,-3052,-58,-600,97,-1012,-938,-585,-1561,-252
-466,-1126,1333,364,2497,-826,-1731,775,352,-129,-198,-830,-101,1060,-1839,-1828,-325,-857,-1241,553,1367,-1632,-1136,1186,168,270,-337,-222,1291,348,30,-432,151,64,335,-831,1680,-2077,-301,-46,964,674,861,-641,-607,-2371,-568,-679,832,-290,389,-1846,-530,-642,-1344,124,451,1019,-389,29,-764,660,-490,-1134,209,-320,-145,1586,2557,-753,383,1551,1410,-809,1006,-2355,-2323,1061,-1211,-180,916,1199,-656,1173,-358,-1395,-1023,-1340,-751,-1398,-171,196,-745,745,-506,-994,1606,722,-1199,1384,283,1654,-1257,980,1343,196,-737,-2064,-1190,2806,1006,897,202,109,1360,-949,-566,470,-1219,-1896
