-942,845,-2079,-722,-142,645,-1888,271,-4045,-1459,-2753,-529,-361,-155,1839,1928,228,1358,109,2674,-2862,-1176,-891,-2255,1609,-1109,-2290,2669,-920,890,-1623,-1604,-789,1545,-1499,3809,210,-1055,-286,7,-82,-2813,-1163,-1604,-901,-1585,-1085,1455,-1167,-2229,1341,-2539,1659,-2029,125,-1263,-1544,871,704,1323,-2002,778,-571,-150,2566,-1241,-1318,-2121,-2681,112,-2127,2764,-5652,409,118,4898,-1545,-940,2412,2476,2458,1144,680,-2,1066,294,1035,-2664,-924,89,823,1176,1629,1641,-90,-1068,2085,-491,-123,-157,-2490,-557,1443,684,-2698,-1066,6073,-2364,1812,1080,1770,1464,158,1005,848,1699,138,795,1731,1008,2082,1478,107,-1859,-950,1150,1321,-948,2180,-1574,-3306,934,407,2204
-617,673,-145,3057,-585,-601,4074,-965,1174,-368,-1756,-698,-335,1051,717,-262,1164,15,519,534,369,-467,-1069,185,-2592,3371,-2101,-203,-2121,670,-1061,66,570,-120,-2100,3630,1131,-603,-474,300,2538,286,74,2445,988,-3779,-2544,1679,2273,1093,-126,-1944,537,-1332,-1302,-1069,254,2212,1918,-2038,510,820,-1870,-1381,35,-1266,-2277,-1198,-1098,1006,-1728,-35,1082,-1804,1540,904,3370,-627,714,776,-735,528,701,188,638,-1361,1894,506,1629,-686,575,-54,-546,-54,654,553,142,245,-3946,288,-1135,-2935,-999,870,551,1258,-1583,-1948,-1379,1073,997,-441,-1224,-310,800,-3067,491,-937,-715,-7,-2044,-189,1659,1597,3285,-991,-1349,1314,1799,3470,-1277,-203,1480,905
1445,1523,-1981,-4627,-449,-1032,-2947,2395,-1822,-431,-1348,-1513,3451,-1224,316,2877,-202,-368,-840,2731,-40,-3023,2,153,3501,-5460,2440,351,1352,-1294,2504,-2402,-2240,-1271,-944,2372,1179,-1157,2360,510,-1967,-600,1163,-2174,-234,4266,1664,1431,-4413,361,4496,2906,-1319,-807,1181,416,1997,-1338,-3678,6558,376,-1808,2553,3263,5354,1105,406,1611,951,-787,878,-151,-3870,4852,-3528,-1317,-1159,2250,246,138,700,3078,830,919,1201,2310,189,3140,-2518,1970,-4527,1172,1737,-427,771,-2390,-1618,126,3318,2189,1302,2935,3524,501,-763,319,153,-1055,3009,640,3903,-501,3881,-695,1443,6,-1708,1510,-278,3518,4210,-766,-658,-3897,-392,403,4129,-1167,-2720,-2957,-470,-1944,-3408,670
294,-1439,-37,-3354,422,-1268,451,-1864,-301,2871,-199,1703,-506,-2221,129,698,-1098,-900,577,570,-1544,-1757,-731,505,260,-1082,2055,1215,2946,965,-1387,1082,-490,981,1457,-1291,-588,529,2004,1434,-602,2224,1723,1882,-290,-264,552,-1519,-1380,-1414,-3,-78,-473,-737,-380,-2700,1082,1367,882,-290,-1332,-1741,1498,-1044,1895,81,-321,2823,2688,-470,-1511,-1212,339,1535,-1001,-2314,895,-546,51,1057,-658,-2852,-504,-1474,946,2381,-243,871,-1757,2011,350,-211,-2187,-1794,4135,-848,714,-100,239,1160,-413,3581,1179,1129,-331,1367,-735,-710,941,-777,384,1724,-297,-112,2001,-2275,-2077,884,2810,-580,-1323,-1735,580,552,-1984,1094,596,-1208,-753,484,1126,-2159,-71,-396
-284,550,-1883,213,-1553,155,-1711,2481,1646,-1643,1614,-538,862,-1383,1490,1881,2586,1284,-1649,939,2188,1194,-320,1119,2782,-2183,721,-1379,2024,-2123,584,628,-2660,-1475,1959,-917,-1673,-1227,1761,-1413,3106,-1350,224,-2610,1914,753,-2227,-1756,-1691,137,2757,1085,-928,2212,-393,-54,-450,972,-863,269,2005,-1060,1615,442,40,1599,-3086,2361,-330,-1523,2395,1860,-2335,-232,1226,277,1082,272,2068,934,3897,855,-1066,1268,-638,1033,1179,112,1334,-917,-1734,1277,1211,81,-393,-898,1510,140,977,-274,-2085,-60,-435,845,-1399,1116,-198,-1887,-374,26,3305,-308,1216,-917,-346,-704,217,1973,729,905,-1225,1334,-1070,-2955,4047,573,936,416,-4529,109,-883,-3251,1072,898
-1910,2450,-6144,-1351,3497,1490,-2311,-1917,-1881,-1003,-1669,-415,-107,-2754,1080,23,707,1184,34,4689,-1797,1550,460,3558,2098,-1041,-756,2709,-1693,1533,-4743,1555,-160,-2361,2333,1239,-1327,-3132,-3158,1164,-78,-3356,-1185,-2115,-2946,2579,-1812,-3547,1288,-2820,-1767,-1856,-400,-1646,-177,1301,-319,1091,2829,687,1463,196,-2382,1218,-583,-1925,-2055,-258,-864,611,-876,-150,-3565,2455,1458,-982,-3472,-1942,2485,2759,2353,-1161,-1564,-4049,-1116,-546,624,-1251,-2913,-397,-499,2768,3498,2960,3339,-1661,1964,3096,2029,270,-992,-1020,2148,2224,-255,3416,2211,819,-857,4181,411,2785,2955,264,2365,-74,54,347,-492,2155,-1883,3047,-314,-2396,2005,1059,227,2196,-243,-2436,-1120,-3150,1832,-1461
-867,1267,-1247,1133,-244,621,-760,496,-985,1127,123,-680,-656,888,-159,-491,1869,1109,308,35,652,-121,2038,1568,1119,-54,-61,-953,-986,233,150,423,-839,-2594,535,-481,-904,-1103,-1805,18,1358,-2151,23,-2195,-718,119,-1120,98,1704,1155,-2038,210,-843,71,436,-816,-1403,1224,-909,-318,2145,149,1633,630,-1007,787,-1507,1023,-121,333,817,-127,-1995,-475,399,-488,-404,-963,-1245,838,629,626,-1374,842,1017,467,1266,572,1455,-365,-268,874,-140,1514,-947,-1744,960,1930,1512,-1115,195,-1468,-678,542,241,928,144,953,33,1974,1846,-353,1670,-802,-486,676,418,1212,252,1034,-1958,1381,1298,-1806,1,1005,-432,-775,-612,293,-1312,-1158,3086,-2483
-965,758,-950,-922,19,-460,28,-632,-1967,373,-3264,575,2441,-848,2067,899,724,-54,398,1641,-578,-825,-128,-1507,-1932,-1470,-222,-1425,3,2065,-49,-1264,-661,1386,-191,1969,-458,-1991,-1865,-1047,340,77,207,-890,576,807,-1703,147,-2526,1009,238,-283,935,-1092,-46,-501,-2603,1213,-155,-1537,-1164,484,776,-441,1257,-937,392,-2602,-1350,3368,-2032,1168,-2145,-1216,685,3493,-1038,438,1189,813,-2776,-1027,81,-1033,1191,1172,959,-360,-61,845,1575,-539,-402,681,1357,1214,1913,-2605,864,831,624,1228,-382,730,-1056,-2665,1099,-1944,1214,-1688,164,-873,-488,792,2227,891,1201,428,1518,328,1506,-588,4174,-1964,-361,312,902,-1376,1343,-661,921,-355,2090,755
3504,1632,794,602,1361,468,884,-1308,-2723,1025,-123,-321,2152,-2755,2801,859,703,-1658,2656,17,2636,-2395,-2044,-3278,-204,92,-439,768,-4276,-1873,1750,-3865,1473,-705,-2202,512,-947,-2064,110,-1883,1708,1538,2071,864,-2731,-1184,201,442,-774,482,2980,1213,2203,-2682,654,-3424,800,1124,1512,220,-2965,-260,-1757,3673,1481,-1221,1678,-1423,-1431,-2494,-404,355,-1515,1259,240,-1425,-1535,296,675,-1577,-3948,-568,3057,-1552,-2300,2907,1634,-2737,-1745,347,-2495,548,486,-787,1878,-258,1326,2367,-409,-612,-1897,-1430,2178,-1316,222,1083,4993,-443,357,3495,996,5044,-1431,2266,-128,1998,1859,-2299,1882,418,1263,1590,2390,2129,-152,519,917,2967,-1218,56,1550,-875,2968,1737
146,201,-775,1924,816,-837,1348,763,2732,-1959,1425,-3179,-509,38,913,-1180,251,-515,1078,-1030,3811,-1637,-1524,3052,250,-1313,2202,-1750,-3059,-1134,1354,-43,350,-758,-1371,491,44,-534,1572,1006,1434,-203,203,-4150,2770,-41,17,-305,2401,761,165,-232,785,2085,593,-799,-153,-3119,1994,-2097,3166,-715,-3609,1838,-50,-1430,-1858,251,60,349,3425,-2013,-1696,-2044,-112,515,-161,1760,-668,-2832,1465,1289,2721,1390,207,-218,-611,-1277,1872,2466,-2496,-512,-98,432,-2356,-2121,-236,-11,-937,-1356,-1253,-259,-1624,553,259,1073,-1742,-561,-1059,251,2866,285,1432,255,-1800,-1182,2253,-73,-320,-1894,-4421,246,-1902,2341,1412,-334,-627,1760,-46,958,-1438,-1273,2363,629
