1576,1376,-1147,-2646,-3895,1665,2067,57,-3342,1105,-1227,-1825,-2062,-3432,-1861,-1236,2687,-852,2185,2236,-2265,1549,4476,116,792,-703,1733,1265,-2128,133,-5085,-2998,1111,-3031,-1085,-3203,2159,4493,1484,3092,2135,3634,-2830,2486,-169,-698,-1141,-1664,-435,1997,-114,1221,-253,-3748,-1820,119,-1611,982,308,-167,-211,756,-2034,1540,-1973,-1761,2978,-29,880,-274,-2634,1528,731,2522,-1185,52,-2768,-2231,2759,-969,886,588,4851,2413,-1144,-4287,4286,824,-2794,-2691,1444,-2401,-1103,2062,-293,1963,2667,-4871,-2466,-2115,1508,733,1305,3132,-223,1960,-262,2632,-2149,-866,-2505,-3736,-2996,6203,1413,5405,-2678,-1383,-1287,666,-872,-537,-1127,-637,819,-1485,-3740,-1811,462,115,-829,-374,-775,-1015,-3519,-1318,-1268,-1014,1170,-1336,-957,-490,-1498,-1020,-1324,1,2924,-1068,783,1909
-42,-1311,-277,-3399,308,4822,-1535,-707,-2210,-3458,-2144,-1696,3565,-79,-2376,5405,-670,4138,5323,4079,134,750,156,2759,459,-446,625,975,-1376,-5521,-3002,-3165,668,-2530,1765,431,4656,4357,-2835,3638,4016,1066,-1813,-458,2271,3874,-2609,-3529,-867,4007,-685,865,3570,425,4482,-1008,-7042,-1569,1287,-389,-76,-3011,-2062,-5045,4151,-2701,1221,268,1580,-4617,359,3019,3192,2447,-5213,-2584,-3494,590,-1062,-4546,-1005,2330,1853,969,4552,805,2564,-700,924,842,-1189,-2548,-1158,891,3999,674,3135,-1861,-2011,-1156,-597,2701,-1623,1747,2718,2572,114,1217,2474,2056,-1694,1806,-2725,4106,-310,1340,-2596,-540,-2756,-947,-5808,-1234,1810,-1173,3998,-1428,-5184,-4497,5584,-57,857,-2708,1303,1760,711,-434,786,4234,1614,-3413,-452,3508,676,2991,-1508,-125,2858,772,2077,-736
272,3014,2373,502,-710,-346,3521,-1056,-562,-502,-1792,-1987,-3629,3590,1236,-3137,-1580,-2238,-1988,-2058,-908,557,-1412,3167,-2578,-2996,3338,4129,220,-1711,-4267,5377,1601,-1624,-195,-3199,2325,2403,554,73,-2342,1565,-1884,141,-460,-1510,496,1945,923,-3141,4547,-2442,-1546,1998,3721,-1311,793,-283,267,2156,904,648,841,-84,-1009,2848,2639,661,171,461,-1443,54,-2861,1042,2720,3522,307,-1362,2046,-4260,3469,1808,-380,3412,-696,39,-1784,1063,502,55,1565,-497,1193,147,-1599,-1649,-239,-2334,-3226,-1012,-107,-1535,955,5446,-191,1098,326,1662,-276,1709,1448,-4074,1784,-2314,1502,2427,-3303,1489,2147,811,2194,-701,-1746,-740,-1634,1549,-1132,-1290,-2548,-914,747,-3079,-1395,-3727,-5305,-1997,436,305,-377,-2327,620,-888,1676,1215,2012,957,-1572,-1982,160,1366
-1581,-1424,4493,-603,2545,400,73,-3491,1592,-2850,-2375,-1029,-4383,2562,4075,-2836,2607,1363,-1078,-504,950,-1253,-2361,3301,-363,1751,-349,417,-992,-343,-14,2167,-1215,3703,114,-2343,-1070,-428,-1873,-614,-1288,3356,-18,-1961,2795,-3728,-433,15,73,-2600,1056,-1208,2174,2076,2694,143,-1811,-2571,956,31,318,-198,1314,-2207,966,135,1638,351,867,-1361,-1002,-2756,-2908,-2599,3348,1129,-643,-1099,1756,-2796,-1946,2425,2260,1071,1625,294,-627,1824,1213,3000,-3802,-785,1031,-435,312,960,-1050,-1604,3057,2152,-3331,-4507,1074,2079,3491,-558,240,256,28,1217,-4161,-1337,1205,-1471,227,-160,4060,-178,-34,-620,-2822,-1880,5168,1958,2716,-3808,1242,-1780,2133,-1230,-242,-5242,-139,1507,-222,576,-382,2795,-2115,2255,3654,-1405,-538,-811,2152,1196,-627,-1501,-1233,1984
-2749,-2692,-2127,1058,5449,-2431,1116,261,-2607,51,3866,1816,1167,1842,-628,-1110,979,3454,2230,3767,3987,2212,431,-1236,4947,-927,-3335,-2533,467,287,2571,796,-3223,971,2976,1829,25,1461,-289,1042,-681,-3141,4301,1122,-774,-958,665,-1716,-2219,-1596,1041,-905,757,327,1415,-1436,-3816,-1302,-4252,-3929,2591,-4892,535,643,5124,-876,-4250,1471,-1932,1901,4307,-2125,-2795,-813,-435,1117,2256,-1818,-2923,560,-1520,266,-43,-785,3995,2983,-5827,974,-2168,447,1650,2596,3466,-2959,649,11,-217,1339,-1503,-2136,1899,-76,119,-3626,-6884,4530,959,-2512,4768,-1377,-752,15,3760,-7275,898,-7868,907,-1032,134,-1174,2337,1939,-1897,4592,2983,-634,104,-2036,1062,-527,529,981,1564,2618,2174,-585,5009,1413,1025,701,3008,-740,71,-1549,237,1426,-2846,977,-1176,4353
-220,471,2144,844,-4830,1097,822,2559,-2401,1825,-2083,4581,-623,222,1773,-534,2689,-2927,2114,-2881,-3529,-4077,3528,2287,2648,-770,2166,-3920,-1218,-1064,496,610,444,-727,-3217,-6778,-2621,-792,3860,-262,-293,5354,-3373,657,3829,68,4358,770,408,-1195,-4790,-2645,-705,-4103,3548,5653,-506,699,-72,778,3916,4537,-4814,-639,1583,560,3798,3170,3935,484,-375,-1634,-2350,-2055,2905,-2317,-226,-2947,392,4553,-596,3849,-1051,-585,-1167,-3399,-302,-3154,-1522,-701,-4805,-3027,2573,185,-864,-1110,2744,-489,1420,-1310,5431,-4074,233,-670,-402,-1392,-3510,-1989,-871,4150,1069,287,1728,2620,294,-703,1287,364,3390,4426,1752,-2920,4263,-341,5776,-2108,-2598,-181,-3381,-6324,-4904,2456,567,-256,232,2742,256,740,-1743,9079,336,-705,-524,242,-1711,3522,1715,-1089,2003,410
1258,3478,1215,2242,-1989,138,-721,468,-1554,3602,2117,-156,2190,707,1401,-761,-1170,14,-1497,-2400,469,-1393,-736,-2558,-1108,-566,1471,1442,1444,-588,-79,-2364,-1723,-2458,-4184,-1800,-477,2,433,-671,-437,-1941,-5723,-493,-4794,-1542,3567,3171,699,-2496,-262,-917,-480,981,-729,-329,4792,174,403,471,2912,3782,46,-56,1238,2859,-649,-58,-2136,1685,-495,-1502,354,-1041,330,3838,-623,1562,1473,-781,2338,665,2214,167,-2585,-1044,-2706,1930,-1385,258,-300,47,1967,921,-188,37,-542,-2051,-190,2001,-3420,1606,-199,2628,-251,-158,-452,2921,-1225,-1186,-726,1641,2942,2924,2911,970,-2277,1946,2021,-584,437,2800,-1102,866,1124,4570,612,-1309,-1057,-1235,-3885,1312,-3073,986,-1988,593,-54,1563,-979,-2496,972,878,287,-606,-945,3481,-478,-1570,-2148,-2618
-391,770,1011,3684,730,-914,1245,-3673,1918,-683,-2097,-1128,-250,-1693,-214,-469,-1800,894,-2240,-1939,4477,380,26,-2201,-1119,2657,958,-345,-1287,732,3213,1768,2155,-327,2588,2708,-366,-607,-2478,-2492,-1921,-601,1171,4441,-462,-1232,1077,3073,3222,-2269,3319,1211,-343,893,2128,-218,2139,-2856,1601,-3076,816,2906,-2472,-3448,1977,-815,-2924,-870,-3582,3839,888,-3903,623,2241,1135,343,-647,473,-1880,-2522,2498,-2303,-1081,-3226,871,-2,-3437,-2578,1762,414,1081,2493,1328,1349,-968,-2529,-3797,1873,361,1832,-1755,1354,2087,857,2826,-2091,-1058,93,-593,-587,-198,-3,974,-974,2900,-933,118,2744,365,-2252,1670,-1706,-258,-2685,1804,-689,-649,3267,896,3036,3063,-1883,4724,1457,1623,4224,472,713,432,-329,1787,-1971,1707,-943,4677,3883,-4304,4136,-1914,-2390
1928,2900,-625,-718,-1476,-1118,-57,3802,-2815,1341,264,2648,1815,2292,-2959,-1994,-385,-2662,-4492,-812,-867,236,-986,-1922,-236,-1984,100,-3662,265,444,-352,-3364,-1622,-4244,-3438,-1765,-82,655,916,-3097,859,1074,-3743,-549,-1822,-297,3594,803,-296,-1496,489,-934,1876,-91,-1309,2451,3294,1756,-1548,722,2554,3317,-3244,2336,372,3687,324,-690,234,-354,-1112,-115,1440,-98,-2763,1256,754,1386,-248,1509,595,-567,-1105,-568,-3884,-3041,-3878,2719,-539,-3402,-2052,268,-806,-923,1983,239,191,1173,-1485,3531,-452,-537,445,-161,-374,1656,-614,1559,-1335,1919,449,1324,1332,781,500,1265,-1753,-370,2302,3226,-1080,1660,-2370,-34,867,2692,-567,-666,-2002,-916,-3741,2725,-2788,-591,2645,-1274,1549,699,-2590,-678,8,2338,948,-1829,25,-981,-591,-574,-3672,1222
153,4680,-3134,1366,-2771,1823,-519,-2817,-376,-4053,-410,2169,1500,731,-2322,953,-899,-2957,-248,-1819,-2467,2165,-1688,-640,-3060,-861,170,-3605,-189,1721,1061,-3376,-1210,-1312,1681,3748,496,-1780,3284,-584,-4122,-34,1445,1213,-271,1421,1105,4703,3907,-2248,-969,-1018,2286,-2295,-2282,3428,-1200,1416,-31,-2890,-123,717,-3202,-4662,5192,-885,-1851,-1931,-370,2084,1442,-1404,859,733,3396,-287,3402,3083,1269,-1135,2891,-3447,259,-2554,-2651,-1051,311,-415,-676,-3680,1514,1645,-4526,283,-4199,-193,-2510,2129,-407,-1045,903,2951,-1891,-4733,2925,1588,1531,-1199,-3789,-1265,3327,-826,206,670,3691,654,-1773,2037,1949,-2466,2459,-977,-2318,-918,-590,1521,-609,3558,-2337,-557,-264,941,2664,-725,1845,4233,-906,-941,2254,59,502,-700,-3144,-1061,-765,3115,2939,2634,-2284,-3209
