-20121,-7344,169806,-44184,71310,160234,-139657,-69700,-80341,71146,-182672,-48033,337957,51517,116512,38026,-144764,7474,57845,-67405,28902,-220474,231699,72156,-52913,125235,-147856,-231344,278497,-109649,-6535,-7423,25619,-4051,-292808,-52588,101817,-106893,-85653,-29647,168531,-97816,47964,-158218,-63549,-195479,58498,159859,-155906,190176
84819,-3820,51059,178859,88998,-235680,-22103,47050,103309,-117130,-81248,-87926,174035,-124607,165855,-35710,-8243,14082,-29143,-459,-5868,-55091,126583,217921,-34879,-171418,132993,-153607,-77913,-66776,161737,205505,-77172,81398,-112252,89295,-122847,97680,20895,56935,-81531,121384,-2953,213218,-222735,216429,20158,-100589,-20007,-65923
-11343,40580,-147067,-126228,-22678,-143338,52732,66386,-174700,193124,42911,18582,-100133,1655,2057,86023,-176827,-1832,-48119,73111,-18147,-92720,-145826,-50714,6235,60674,16469,-9110,-97852,-63807,80858,34248,-28618,-110499,82409,-86498,9819,-200618,-27269,155339,7450,120019,46427,161369,6519,93328,-80558,46248,-1283,-98467
-50549,-61747,24647,-27772,-78241,123965,75746,-44140,39117,-15777,-4608,181510,4350,40680,-132703,-270871,65752,15790,-3890,59393,-43362,-30265,-132639,-99702,-14440,95501,75437,27894,26153,-8234,-66770,-88340,-8967,77045,41554,35855,5642,61044,29409,84015,-21530,-49719,-20336,10953,-17924,-28797,-49806,71811,9188,-24249
42126,99029,23225,48086,-50380,-41804,-54825,-67582,-92425,-103295,30819,11103,44943,-246145,36996,-13126,67286,-105695,87053,-146927,-8826,-76480,-26193,-29748,-98102,170508,-51265,164268,-145496,-53723,-59646,-38481,198808,113857,-195061,-83227,21482,117983,-46491,-57851,-86061,14147,25990,22323,-174007,-101661,-50029,-21704,-22366,61954
-22658,-78568,-86542,-109068,-110126,195118,228210,131280,-161373,80841,-40218,91628,-55803,179479,-93531,8152,5253,49788,-85222,328172,-114987,121769,-35699,16081,75949,-149163,-158178,-62994,-17156,-67186,176096,-42858,-241165,-130458,91150,65136,-110662,-157936,158512,35810,102546,-59230,116320,-293015,81292,-38223,-48804,32890,-80537,-43391
-51048,-71097,27183,110637,23186,-146462,79804,153329,28514,155414,-9425,-177530,-31470,48406,-117348,-103130,69154,-85636,10522,-58662,-246877,-60231,-50988,-26074,4646,119428,-11107,16394,158805,-13398,-19093,177322,-25292,-14944,194371,-61217,-116182,9483,98379,-288208,43216,-166569,-23873,6439,62957,109392,94635,28797,-8365,-45883
-64605,-20676,-86026,-112010,77458,-92246,-3603,-147975,148617,61803,-152987,-40975,-56633,-62918,55596,61365,-105132,-13500,-38150,-34612,-1026,87742,-17052,10566,-125867,-83753,144035,123523,-30285,192732,122721,-102083,-144966,-54117,62487,92684,-149400,-51820,-181516,221206,-244373,134670,-69275,37789,139141,120541,-76456,-149257,75818,-117045
55291,-5898,-24760,-3751,-57454,67474,78468,125181,-122821,-30903,276148,131297,-29489,-9973,6561,-205550,-99916,-35421,-145807,-134613,94498,-28992,52776,-188339,-79199,-27773,-101010,-38302,1157,-159956,-7168,-76615,-50526,37141,3893,-105332,137345,37022,157442,-80102,-131826,-16436,-97346,106522,-31634,-192877,96018,-4662,144066,-44404
26913,6402,-177766,-95986,-81932,-96493,-74765,37430,-88577,41907,-193811,-108915,-105383,-202373,-67043,225860,-41012,-54657,-77772,71595,78078,-148837,106457,85658,-103192,-30963,109220,-137883,-82848,-58798,5927,116593,23529,22203,105375,-80459,145936,33871,-42583,72864,9073,-1660,106638,-170707,-137217,185435,-136171,1673,-593,128035
