-80120,214716,38923,-179316,185166,176318,182450,209511,-159541,45534,-154589,26778,140471,121393,211396,-89528,112502,-93969,20556,161464,207038,-173962,142827,-29514,-74563,-6790,-145683,-43176,105687,108436,165383,50449,-90807,187398,-82454,87135,-54599,-147033,179673,-127954,-51854,-57871,116220,-192253,-130436,-99160,21114,93785,132598,144222,-132983,-114240,-142255,93849,-153472,102608,-195199,-44448,-90336,-39058
-129593,99861,-52598,-85769,120396,-53972,-147405,19671,25504,-58076,61583,133336,-140043,118530,169124,70812,-201538,72528,-147477,57119,39899,-52932,152390,-95709,92882,60054,24584,-15370,-121786,-143449,35034,115563,-169872,170404,-117507,-119544,-7484,89193,-97102,-47250,38642,20768,-174096,92920,-51719,-21727,-74305,32200,-176044,-2935,182375,-157115,-159037,-595,84621,-134211,-106935,-36759,210994,-94705
-180602,-120141,-23485,109596,-192395,136405,-26496,-179629,-81450,-144931,-108652,-144685,-170272,-116471,129710,-193802,36103,45080,84254,-179542,127706,29302,96877,-146054,-59745,-178719,62958,197022,-117627,186419,71588,-162928,-71068,-19036,79805,-121397,-109641,-196287,184384,104170,42204,57355,-61131,102363,-103261,170427,-49016,-64336,215765,-165752,6833,157325,-39488,-164262,103287,107572,-102805,213245,-34830,66616
174602,-50006,-196287,172384,190474,59889,-93345,-62734,-136965,-38193,149179,55631,89569,-93401,-163943,61030,-205211,16761,-161182,-178904,-181376,145424,17383,-203284,-130186,-123720,120930,15637,-31671,200238,-47913,-67904,58664,107809,52337,-91429,-190221,155643,-124372,82534,-65138,-29049,-68017,-27030,-33167,-88214,-97302,3355,-200346,-65181,-118276,-96636,76036,62821,78923,-142402,-944,-195750,138336,117176
-190871,-178209,173228,92413,-70645,-7805,87829,29835,-41750,-158856,122460,56513,82560,-166394,88240,126920,86330,116368,-19797,68595,-189325,-121876,181854,-67018,191885,-197906,-2302,-145816,-89834,-193610,31266,142232,90060,81738,7214,-597,-167983,-32535,-31811,-78007,-61608,-151837,-214128,152998,-20287,76780,-134989,176180,202229,20703,28941,-62842,-109985,-158593,104707,73394,-165153,212574,82700,-11233
-13430,132744,-140941,-185827,178695,144821,-194178,188483,172325,-28461,43733,-74230,-29238,21966,33025,151305,-103801,47640,-130133,-169942,204113,38764,79043,5485,-179962,-174007,-112069,48010,137798,200225,-161607,105866,-120127,-143746,-180844,38601,208268,203984,-153724,114086,-37846,60728,89970,50988,-14539,90513,-19074,-199887,11573,132920,75050,-118369,190420,170318,-179611,-118859,-119442,-208991,65586,108340
111179,-5085,-45114,-57823,51786,-66788,-192420,-69580,170768,172469,-96434,7487,60623,90904,121500,-21167,178056,-170458,-190439,107018,176192,93585,178717,-142861,138902,163723,-50218,-6195,-82279,16986,118524,-183910,-25706,206168,214523,-135868,187781,-209712,-27039,-70561,82460,-68594,-149457,193567,-72795,93048,-123756,-208301,-135491,-70919,102409,-80357,-23145,115515,31453,-91397,137782,-72859,-92898,202668
90109,-87909,-33057,-6974,-158151,-177228,65791,215548,185429,205493,36068,-31022,-26796,-101707,142,-98182,54213,108884,213378,-48367,-40596,-96171,38015,-46203,55986,152777,-970,-10389,164270,-35567,-30755,-128093,-213559,-213237,63656,16362,130323,-96792,-125521,-103705,-110980,-133294,158569,124658,20372,-77346,-150118,19871,122465,-192461,214359,-94212,47722,118646,110038,173049,3140,161995,72155,66327
173306,-21414,98687,-108238,-110462,-188009,-142068,-136162,70293,14895,-14499,125930,74685,144832,6366,143304,128488,3276,-111812,126126,155286,-36351,-98548,-44848,203214,152927,-103206,80664,-91975,115683,42746,-157894,80762,-156154,-59041,-165030,-156812,47922,2121,124044,128867,30063,158018,-77768,-76877,199817,130796,105678,-100870,112699,54219,-118462,-33212,145690,159785,117619,57600,-83515,45981,103180
56831,183879,204538,-57670,163953,151746,-14846,75718,-32255,32733,37657,149341,41990,-144779,76558,207377,210307,-128562,-215101,-88630,-75942,48550,-126689,128100,70382,170972,18860,-161755,-98644,-1496,210174,-13518,-182548,4267,-210950,162733,148461,138912,137191,42533,-91680,-38782,85569,123895,91737,-129649,71119,-215553,-118876,44270,171191,169002,122912,-81284,173170,67198,-63167,106110,-70126,-78917
